"brand","model","fuel_type","drop_percent"
audi,a5 2.0t premium plus,gasoline,32.47477718942712
audi,a5 2.0t premium plus,gasoline,39.42167309494236
audi,a5 2.0t premium plus,gasoline,37.76121679632172
audi,a5 2.0t premium plus,gasoline,16.70480050554575
audi,a5 2.0t prestige,gasoline,37.21058001726709
audi,a5 2.0t premium,gasoline,16.324564343163537
audi,a5 2.0t premium plus,gasoline,35.11363883985967
audi,a5 2.0t prestige,gasoline,38.65081233812103
audi,a5 2.0t premium,gasoline,47.63739946380697
audi,a5 2.0t premium,gasoline,35.29448726541555
audi,a5 2.0t prestige,gasoline,36.01169452947178
audi,a5 2.0t premium,gasoline,53.939762064343164
audi,a5 2.0t premium plus,gasoline,39.00111132901876
audi,a5 2.0t premium plus,gasoline,30.27390991697719
audi,a5 2.0t prestige,gasoline,46.040342202338906
audi,a5 2.0t premium plus,gasoline,32.448628271338606
audi,a5 2.0t prestige,gasoline,29.365826858174398
audi,a5 2.0t premium plus,gasoline,36.81767666862783
audi,a5 2.0t premium,gasoline,49.94763739946381
audi,a5 2.0t premium,gasoline,43.469336461126005
audi,a5 2.0t prestige,gasoline,47.03123773644141
audi,a5 2.0t premium plus,gasoline,15.026911594866096
audi,a5 2.0t premium plus,gasoline,45.53398269813253
audi,a5 2.0t premium plus,gasoline,45.53398269813253
audi,a5 2.0t premium,gasoline,43.448391420911534
audi,a5 2.0t premium,gasoline,28.791052278820374
audi,a5 2.0t premium plus,gasoline,21.771153385195355
audi,a5 2.0t premium plus,gasoline,15.022553441851343
audi,a5 2.0t premium,gasoline,34.56141085790885
audi,a5 2.0t premium plus,gasoline,34.63860016125166
audi,a5 2.0t prestige,gasoline,40.15383407895769
audi,a5 2.0t premium plus,gasoline,34.629883855222154
audi,a5 2.0t premium plus,gasoline,47.713059205508706
audi,a5 2.0t premium plus,gasoline,40.01002375193393
audi,a5 2.0t premium plus,gasoline,49.89213571288488
audi,a5 2.0t premium plus,gasoline,30.27390991697719
audi,a5 2.0t prestige,gasoline,37.273369437249826
audi,a5 2.0t premium plus,gasoline,39.02943932361465
audi,a5 2.0t premium plus,gasoline,39.58510383299558
audi,a5 2.0t premium plus,gasoline,40.21049879061253
audi,a5 2.0t premium,gasoline,34.02521782841823
audi,a5 2.0t premium plus,gasoline,13.054847355690658
audi,a5 2.0t premium plus,gasoline,13.074459044257045
audi,a5 2.0t premium plus,gasoline,38.201390250811706
audi,a5 2.0t premium plus,gasoline,34.63860016125166
audi,a5 2.0t premium plus,gasoline,34.63860016125166
audi,a5 2.0t premium,gasoline,38.84257707774799
audi,a5 2.0t premium,gasoline,49.73190348525469
audi,a5 2.0t premium plus,gasoline,23.74321762437079
audi,a5 2.0t prestige,gasoline,31.726316615650262
audi,a5 2.0t premium plus,gasoline,33.78004401734545
audi,a5 2.0t premium plus,gasoline,39.068662700747424
audi,a5 2.0t prestige,gasoline,52.909897182324784
audi,a5 2.0t premium,gasoline,66.69738605898124
audi,a5 2.0t premium plus,gasoline,39.23645159181539
audi,a5 2.0t premium plus,gasoline,39.035976553136784
audi,a5 2.0t premium plus,gasoline,22.529472009762262
